,Year,Disaster Type,Event Name,Country,Total Affected
140,2004,Flood,,Panama,7698.0
141,2004,Transport accident,,El Salvador,24.0
142,2004,Miscellaneous accident,Riots in prison,El Salvador,28.0
143,2005,Flood,,Panama,7000.0
144,2005,Transport accident,,Mexico,13.0
145,2005,Transport accident,,Mexico,15.0
146,2005,Storm,Gamma,Honduras,90000.0
147,2005,Storm,Stan,Guatemala,475314.0
148,2005,Flood,,Costa Rica,855.0
149,2005,Flood,,Honduras,800.0
150,2005,Storm,Stan,Honduras,2869.0
151,2005,Storm,Beta,Honduras,11000.0
152,2005,Storm,"Hurricane ""Wilma""",Belize,
153,2005,Storm,Gamma,Belize,
154,2005,Storm,Stan,Costa Rica,1074.0
155,2005,Miscellaneous accident,"Hospital ""Rafael Angel Calderon Guardia""",Costa Rica,
156,2005,Flood,,Guatemala,
157,2005,Landslide,,Guatemala,1535.0
158,2005,Landslide,,Guatemala,1000.0
159,2005,Storm,"Hurricane ""Wilma""",Honduras,
160,2005,Miscellaneous accident,Poisoning,Honduras,200.0
161,2005,Miscellaneous accident,Food poisoning,Honduras,150.0
162,2006,Extreme temperature,,Guatemala,
163,2006,Transport accident,,Guatemala,5.0
164,2006,Transport accident,,Guatemala,40.0
165,2006,Miscellaneous accident,Open market,Guatemala,4.0
166,2006,Flood,,Honduras,1500.0
167,2005,Flood,,Mexico,10000.0
168,2005,Earthquake,,El Salvador,751.0
169,2005,Flood,,El Salvador,2332.0
170,2005,Flood,,El Salvador,
171,2005,Storm,Stan,El Salvador,72141.0
172,2005,Storm,Stan,Mexico,1954571.0
173,2005,Storm,"Hurricane ""Wilma""",Mexico,1000000.0
174,2005,Flood,,Mexico,1000.0
175,2005,Storm,Beta,Nicaragua,5763.0
176,2005,Storm,Bret,Mexico,15000.0
177,2005,Storm,Stan,Nicaragua,7880.0
178,2005,Flood,,Mexico,3000.0
179,2005,Storm,Emily,Mexico,
180,2005,Miscellaneous accident,Fireworks market,Mexico,104.0
181,2005,Complex Disasters,,Nicaragua,12500.0
182,2005,Volcanic activity,Santa Ana (Ilamatepec),El Salvador,2000.0
183,2005,Storm,Adrian,El Salvador,
184,2006,Storm,John,Mexico,10000.0
185,2006,Storm,Lane,Mexico,240700.0
186,2006,Flood,,Panama,4530.0
187,2006,Flood,,Panama,1900.0
188,2006,Storm,Paul,Mexico,20000.0
189,2006,Flood,,Mexico,
190,2006,Landslide,,Mexico,
191,2006,Landslide,,Mexico,
192,2006,Extreme temperature,,Mexico,
193,2006,Transport accident,,Mexico,3.0
194,2006,Transport accident,,Mexico,
195,2006,Transport accident,,Mexico,9.0
196,2006,Industrial accident,Mine,Mexico,8.0
197,2006,Industrial accident,Methanol,Nicaragua,800.0
198,2006,Transport accident,,Panama,18.0
199,2006,Wildfire,,Panama,1436.0
200,2006,Earthquake,,El Salvador,16470.0
201,2006,Extreme temperature,,El Salvador,
202,2007,Transport accident,,Mexico,25.0
203,2007,Miscellaneous accident,,Panama,725.0
204,2007,Storm,Felix,Guatemala,3905.0
205,2007,Storm,Felix,Honduras,19500.0
206,2007,Flood,,Costa Rica,12000.0
207,2007,Flood,,Guatemala,656.0
208,2007,Storm,Dean,Belize,20000.0
209,2007,Flood,,Costa Rica,12500.0
210,2007,Flood,,Guatemala,1440.0
211,2007,Earthquake,,Honduras,1883.0
212,2007,Flood,,Honduras,15000.0
213,2007,Flood,,Honduras,500.0
214,2008,Flood,,Guatemala,17300.0
215,2008,Storm,Hurricane Dolly,Guatemala,
216,2008,Storm,Alma,Costa Rica,55000.0
217,2008,Flood,,Costa Rica,9498.0
218,2008,Flood,Tropical Depression Sixteen,Costa Rica,92000.0
219,2008,Flood,,Costa Rica,53000.0
220,2008,Flood,Tropical Depression Sixteen,Guatemala,180000.0
221,2008,Flood,Tropical Depression Sixteen,Honduras,313357.0
222,2008,Storm,Arthur,Belize,10000.0
223,2008,Flood,Tropical Depression Sixteen,Belize,38000.0
224,2008,Landslide,,Guatemala,
225,2008,Transport accident,,Guatemala,25.0
226,2008,Transport accident,,Guatemala,4.0
227,2008,Storm,Alma,Honduras,
228,2008,Transport accident,,Honduras,18.0
229,2009,Earthquake,,Costa Rica,128618.0
230,2009,Earthquake,,Honduras,50136.0
231,2009,Mass movement (dry),,Guatemala,3028.0
232,2009,Flood,,Guatemala,10800.0
233,2007,Flood,,Mexico,1600000.0
234,2007,Storm,Lorenzo,Mexico,33000.0
235,2007,Storm,Felix,Nicaragua,188726.0
236,2007,Flood,,Nicaragua,24000.0
237,2007,Landslide,,Mexico,
238,2007,Storm,Dean,Mexico,140000.0
239,2007,Storm,Felix,Mexico,30000.0
240,2007,Storm,Felix,El Salvador,2800.0
241,2007,Flood,,Mexico,55000.0
242,2007,Storm,Henriette,Mexico,
243,2007,Transport accident,,Mexico,
244,2007,Transport accident,,Mexico,120.0
245,2007,Transport accident,,Mexico,12.0
246,2007,Transport accident,,Mexico,
247,2007,Industrial accident,Oil plateform,Mexico,63.0
248,2007,Flood,,Panama,129.0
249,2007,Miscellaneous accident,Apartment sbuidlings,Panama,400.0
250,2007,Flood,,El Salvador,500.0
251,2008,Storm,Hurricane Dolly,Mexico,500000.0
252,2008,Flood,,Nicaragua,3525.0
253,2008,Flood,,Panama,23292.0
254,2008,Flood,,El Salvador,
255,2008,Flood,,Mexico,20000.0
